source_index,source_file,global_request_id,依頼No.,項目名,項目No.,測光ﾎﾟｰﾄ,処理値,時間,吸光度
1,240517_calCSV_data.csv,1_C008,C008,TAT206,41,18,15.5,180.0,11963.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,0.0,11712.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,9.2,11713.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,18.0,11730.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,27.2,11739.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,36.0,11756.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,45.2,11772.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,54.0,11793.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,63.2,11806.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,72.0,11831.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,81.2,11850.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,90.0,11876.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,99.2,11895.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,108.0,11923.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,117.2,11938.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,126.0,11967.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,135.2,11991.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,144.0,12014.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,153.2,12043.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,162.0,12062.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,171.2,12087.0
1,240517_calCSV_data.csv,1_C009,C009,TAT206,41,19,15.8,180.0,12118.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,0.0,11583.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,9.2,11593.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,18.0,11618.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,27.2,11630.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,36.0,11646.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,45.2,11671.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,54.0,11693.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,63.2,11716.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,72.0,11744.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,81.2,11776.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,90.0,11810.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,99.2,11839.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,108.0,11867.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,117.2,11902.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,126.0,11935.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,135.2,11965.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,144.0,11995.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,153.2,12036.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,162.0,12064.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,171.2,12103.0
1,240517_calCSV_data.csv,1_C010,C010,TAT206,41,18,21.8,180.0,12142.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,0.0,11793.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,9.2,11791.0
1,240517_calCSV_data.csv,1_C011,C011,TAT206,41,19,22.7,18.0,11803.0
